Image;Tag;Title Lent;Title Lent_link;Game Genre 1;Game Genre 3;Game Date;Game Genre 4
https://stopga.me/images/games/logos/14180/c170x119/wvHrp8OYVM4SO9Xq7bDWPQ/quest_for_infamy.jpg;7.0;Quest for Infamy;https://stopgame.ru/game/quest_for_infamy;rpg;;10 июл€ 2014 г.;Mac, PC
https://stopga.me/images/games/logos/11845/c170x119/svcbs1i4z62eRobZbkSjJA/deathspank_thongs_of_virtue.jpg;7.0;DeathSpank: Thongs of Virtue;https://stopgame.ru/game/deathspank_thongs_of_virtue;rpg;;21 сент€бр€ 2010 г.;Mac, PC, PS3, X360
https://stopga.me/images/games/logos/9467/c170x119/dr9UEjp8gxajOcYAbC_ylA/harry_potter_and_the_half-blood_prince.jpg;7.0;Harry Potter and the Half-Blood Prince;https://stopgame.ru/game/harry_potter_and_the_half-blood_prince;arcade;;30 июн€ 2009 г.;NDS, PC, PS2, PS3, PSP, WII, X360
https://stopga.me/images/games/logos/5636/c170x119/B8I7-zRiXJ5wted1jwn_QQ/ecco_the_dolphin_defender_of_the_future.jpg;7.0;Ecco the Dolphin;https://stopgame.ru/game/ecco_the_dolphin_defender_of_the_future;arcade;;31 июл€ 1992 г.;3DS, iOS, PC, X360
https://stopga.me/images/games/logos/13467/c170x119/zKYW8wf2Iq5N6_7sF1dgqQ/volume.jpg;7.0;Volume;https://stopgame.ru/game/volume;action;strategy;18 августа 2015 г.;PC, PS4, PSV
https://stopga.me/images/games/logos/2704/c170x119/yp5_sOOK7-KMtIYiic7HZQ/soldiers_of_anarchy.jpg;7.0;Soldiers of Anarchy;https://stopgame.ru/game/soldiers_of_anarchy;strategy;;22 окт€бр€ 2002 г.;PC
https://stopga.me/images/games/logos/13203/c170x119/grEB_bviDqhcN-lx5-WK6Q/bioshock_infinite_industrial_revolution.jpg;7.0;BioShock Infinite: Industrial Revolution;https://stopgame.ru/game/bioshock_infinite_industrial_revolution;logic;;22 окт€бр€ 2012 г.;PC
https://stopga.me/images/games/logos/2806/c170x119/2mYtfz1HeoapsbyOqhrhCw/star_wars_rebellion.jpg;7.0;Star Wars: Rebellion;https://stopgame.ru/game/star_wars_rebellion;strategy;;1998 г.;PC
https://stopga.me/images/games/logos/11439/c170x119/rOkgvz5hBD9Unk-Z-pVOfw/sins_of_a_solar_empire_trinity.jpg;7.0;Sins of a Solar Empire: Trinity;https://stopgame.ru/game/sins_of_a_solar_empire_trinity;strategy;add-on;12 феврал€ 2010 г.;PC
https://stopga.me/images/games/logos/15361/c170x119/MMkReqCJjNjMD69iFksbZw/sheltered.jpg;7.0;Sheltered;https://stopgame.ru/game/sheltered;strategy;;15 марта 2016 г.;Android, iOS, Mac, PC, PS4, XONE
https://stopga.me/images/games/logos/10488/c170x119/sd5CvbOIoCzhVBc9HhywRw/g-force_2009.jpg;6.9;G-Force (2009);https://stopgame.ru/game/g-force_2009;arcade;;21 июл€ 2009 г.;NDS, PC, PS2, PS3, PSP, WII, X360
https://stopga.me/images/games/logos/13005/c170x119/iD2aErNfE6SBq4hzH12FAA/archeage.jpg;6.9;ArcheAge;https://stopgame.ru/game/archeage;rpg;online;15 €нвар€ 2013 г.;PC
https://stopga.me/images/games/logos/11751/c170x119/Odq-pCwgQL2H7X77a0WMVQ/3rd_birthday_the.jpg;6.9;3rd Birthday, The;https://stopgame.ru/game/3rd_birthday_the;rpg;;22 декабр€ 2010 г.;PSP
https://stopga.me/images/games/logos/15085/c170x119/YYDQRGd9wP_TaQ6xd-zDNw/fire.jpg;6.9;FIRE;https://stopgame.ru/game/fire;adventure;;9 апрел€ 2015 г.;iOS, Mac, PC, Wii U
https://stopga.me/images/games/logos/15541/c170x119/F-W_eWNYyxSZZRrO2DDKng/walking_dead_michonne_episode_one.jpg;6.9;Walking Dead: Michonne - Episode 1: In Too Deep, The;https://stopgame.ru/game/walking_dead_michonne_episode_one;adventure;;23 феврал€ 2016 г.;Android, iOS, Mac, PC, PS3, PS4, X360, XONE
https://stopga.me/images/games/logos/8642/c170x119/fjF42th6NEBA1z22lG7jWg/juiced_2_hot_import_nights.jpg;6.9;Juiced 2: Hot Import Nights;https://stopgame.ru/game/juiced_2_hot_import_nights;arcade;racing;17 сент€бр€ 2007 г.;NDS, PC, PS2, PS3, PSP, X360
https://stopga.me/images/games/logos/6132/c170x119/Ki42uEhYXEF6j7dcJhpe0w/dig_the.jpg;6.9;Dig, The;https://stopgame.ru/game/dig_the;adventure;;30 но€бр€ 1995 г.;Mac, PC
https://stopga.me/images/games/logos/11595/c170x119/fWeJEl6-lqeBQibgo39JEg/moonbase_alpha.jpg;6.9;Moonbase Alpha;https://stopgame.ru/game/moonbase_alpha;arcade;logic;6 июл€ 2010 г.;PC
https://stopga.me/images/games/logos/2921/c170x119/7LHPv9pYcCh9rikV2-YcyA/terminator_2.jpg;6.9;Terminator 2: Judgement Day;https://stopgame.ru/game/terminator_2;arcade;;1991 г.;PC
